Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,Status
6,Meteorological or oceanographic sequences common to oceanographic observations,306031,(Sequence for representation of DART buoy tsunami event reports and extended tsunami event reports),,22185,BPR transmission count,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306031,(Sequence for representation of DART buoy tsunami event reports and extended tsunami event reports),,22182,Water column height,Determination of actual value reported in the time series,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306031,(Sequence for representation of DART buoy tsunami event reports and extended tsunami event reports),,4016,Time increment,Added to reset the reference time,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306031,(Sequence for representation of DART buoy tsunami event reports and extended tsunami event reports),,4066,Short time increment,Added to each data value in the time series,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306031,(Sequence for representation of DART buoy tsunami event reports and extended tsunami event reports),,101000,Delayed replication of 1 descriptor,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306031,(Sequence for representation of DART buoy tsunami event reports and extended tsunami event reports),,31001,Delayed descriptor replication factor,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306031,(Sequence for representation of DART buoy tsunami event reports and extended tsunami event reports),,22184,Water column height deviation from the reference value,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306033,(Surface salinity),,2033,Method of salinity/depth measurement,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306033,(Surface salinity),,7063,Depth below sea/water surface (cm),,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306033,(Surface salinity),,22064,Salinity,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306034,(Surface current),,2031,Duration and time of current measurement,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306034,(Surface current),,3010,Method of sea/water current measurement,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306034,(Surface current),,2040,Method of removing velocity and motion of platform from current,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306034,(Surface current),,22005,Direction of sea-surface current,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306034,(Surface current),,22032,Speed of sea-surface current,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306035,(Temperature and salinity profile),,112000,Delayed replication of 12 descriptors,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306035,(Temperature and salinity profile),,31002,Extended delayed descriptor replication factor,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306035,(Temperature and salinity profile),,7062,Depth below sea/water surface,In metres,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306035,(Temperature and salinity profile),,8080,Qualifier for GTSPP quality flag,= 13 Depth at a level,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306035,(Temperature and salinity profile),,33050,Global GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306035,(Temperature and salinity profile),,7065,Water pressure,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306035,(Temperature and salinity profile),,8080,Qualifier for GTSPP quality flag,= 10 Pressure at a level,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306035,(Temperature and salinity profile),,33050,Global GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306035,(Temperature and salinity profile),,22043,Sea/water temperature,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306035,(Temperature and salinity profile),,8080,Qualifier for GTSPP quality flag,= 11 Temperature at a level,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306035,(Temperature and salinity profile),,33050,Global GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306035,(Temperature and salinity profile),,22064,Salinity,= 12 Salinity at a level,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306035,(Temperature and salinity profile),,8080,Qualifier for GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306035,(Temperature and salinity profile),,33050,Global GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306036,(Current profile),,112000,Delayed replication of 12 descriptors,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306036,(Current profile),,31002,Extended delayed descriptor replication factor,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306036,(Current profile),,7062,Depth below sea/water surface,In metres,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306036,(Current profile),,8080,Qualifier for GTSPP quality flag,= 13 Depth at a level,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306036,(Current profile),,33050,Global GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306036,(Current profile),,7065,Water pressure,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306036,(Current profile),,8080,Qualifier for GTSPP quality flag,= 10 Pressure at a level,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306036,(Current profile),,33050,Global GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306036,(Current profile),,22031,Speed of current,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306036,(Current profile),,8080,Qualifier for GTSPP quality flag,= 14 Current speed at a level,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306036,(Current profile),,33050,Global GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306036,(Current profile),,22004,Direction of current,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306036,(Current profile),,8080,Qualifier for GTSPP quality flag,= 15 Current direction at a level,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306036,(Current profile),,33050,Global GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306037,(Dissolved oxygen profile data),,109000,Delayed replication of 9 descriptors,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306037,(Dissolved oxygen profile data),,31002,Extended delayed descriptor replication factor,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306037,(Dissolved oxygen profile data),,7062,Depth below sea / water surface,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306037,(Dissolved oxygen profile data),,8080,Qualifier for GTSPP quality flag,= 13 Depth at a level,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306037,(Dissolved oxygen profile data),,33050,Global GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306037,(Dissolved oxygen profile data),,7065,Water pressure,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306037,(Dissolved oxygen profile data),,8080,Qualifier for GTSPP quality flag,= 10 Pressure at a level,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306037,(Dissolved oxygen profile data),,33050,Global GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306037,(Dissolved oxygen profile data),,22188,Dissolved oxygen,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306037,(Dissolved oxygen profile data),,8080,Qualifier for GTSPP quality flag,= 16 Dissolved oxygen at a level,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306037,(Dissolved oxygen profile data),,33050,Global GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,10004,Pressure,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,10051,Pressure reduced to mean sea level,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,7033,Height of sensor above water surface,Height of air temperature/humidity sensor,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,12101,Temperature/air temperature,At observation height,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,12103,Dewpoint temperature,At observation height,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,13003,Relative humidity,With respect to water at all temperatures,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,7033,Height of sensor above water surface,Height of wind speed sensor,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,8021,Time significance,=2 Time averaged,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,4025,Time period or displacement,Period over which winds are averaged,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,11001,Wind direction,At observation height,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,11002,Wind speed,At observation height,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,8021,Time significance,Set to missing (cancel),,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,4025,Time period or displacement,Time period over which maximum gust observed,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,11041,Maximum wind gust speed,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,4025,Time period or displacement,Set to missing (cancel),,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,7033,Height of sensor above water surface ,Set to missing (cancel),,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,2005,Precision of temperature observation,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,7063,Depth below sea/water surface (cm),,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306038,(Sequence for representation of standard surface marine meteorological observations from moored buoys),,22049,Sea-surface temperature,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306039,(Sequence for representation of basic wave measurements),,22078,Duration of wave record,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306039,(Sequence for representation of basic wave measurements),,22070,Significant wave height,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306039,(Sequence for representation of basic wave measurements),,22073,Maximum wave height,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306039,(Sequence for representation of basic wave measurements),,22074,Average wave period,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306039,(Sequence for representation of basic wave measurements),,22071,Spectral peak wave period,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306039,(Sequence for representation of basic wave measurements),,22076,Direction from which dominant waves are coming,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306039,(Sequence for representation of basic wave measurements),,22077,Directional spread of dominant wave,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306040,(Sequence for representation of detailed spectral wave measurements),,22078,Duration of wave record,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306040,(Sequence for representation of detailed spectral wave measurements),,22082,Maximum non-directional spectral wave density,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306040,(Sequence for representation of detailed spectral wave measurements),,106000,Delayed replication of 6 descriptors,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306040,(Sequence for representation of detailed spectral wave measurements),,31001,Delayed descriptor replication factor,Number of frequency bins,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306040,(Sequence for representation of detailed spectral wave measurements),,22080,Waveband central frequency,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306040,(Sequence for representation of detailed spectral wave measurements),,22069,Spectral wave density,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306040,(Sequence for representation of detailed spectral wave measurements),,22086,Mean direction from which waves are coming,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306040,(Sequence for representation of detailed spectral wave measurements),,22087,Principal direction from which waves are coming,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306040,(Sequence for representation of detailed spectral wave measurements),,22088,First normalized polar coordinate from Fourier coefficients,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306040,(Sequence for representation of detailed spectral wave measurements),,22089,Second normalized polar coordinate from Fourier coefficients,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306041,(Depth and temperature profile (high accuracy/precision)),,2032,Indicator for digitization,= 0 Fixed sensor depths,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306041,(Depth and temperature profile (high accuracy/precision)),,102000,Delayed replication of 2 descriptors,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306041,(Depth and temperature profile (high accuracy/precision)),,31001,Delayed descriptor replication factor,Number of depths,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306041,(Depth and temperature profile (high accuracy/precision)),,7062,Depth below sea/water surface,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306041,(Depth and temperature profile (high accuracy/precision)),,22043,Sea/water temperature,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306042,(Wind measurement from drifting buoy),,2169,Anemometer type,"E.g. = 2 WOTAN, = 3 Sonic anemometer",,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306042,(Wind measurement from drifting buoy),,7033,Height of sensor above water surface,Height of anemometer above water surface or effective height for WOTAN,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306042,(Wind measurement from drifting buoy),,8021,Time significance,= 2 Time averaged,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306042,(Wind measurement from drifting buoy),,4025,Time period or displacement,Averaging period in minutes,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306042,(Wind measurement from drifting buoy),,11001,Wind direction,At measurement height,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306042,(Wind measurement from drifting buoy),,11002,Wind speed,At measurement height,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,41001,pCO2,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,8043,Atmospheric chemical or physical constituent type,Set to 3 (carbon dioxide),,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,15028,Mole fraction of atmospheric constituent/pollutant in dry air,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,8043,Atmospheric chemical or physical constituent type,Cancel,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,13080,Water pH,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,41005,Turbidity,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,41003,Dissolved nitrates,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,22188,Dissolved oxygen,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,41002,Fluorescence,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,106000,Delayed replication of 6 descriptors,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,31000,Short delayed replication factor,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,4024,Time period or displacement (hours),Set to -1 (preceding hour),,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,14002,"Long-wave radiation, integrated over period specified",Downwelling long-wave radiation,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,14002,"Long-wave radiation, integrated over period specified",Upwelling long-wave radiation,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,14012,"Net long-wave radiation, integrated over period specified",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,14004,"Short-wave radiation, integrated over period specified",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306043,(Marine biogeochemical and radiation observations),,4024,Time period or displacement (hours),Cancel,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,301150,WIGOS identifier,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,201129,Change data width,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,1087,WMO marine observing platform extended identifier ,WMO number where assigned,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,201000,Change data width,Cancel,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,208032,Change width of CCITT IA5 ,change width to 32 characters,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,1019,Ship or mobile land station identifier ,Vessel ID,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,208000,Change width of CCITT IA5 ,Cancel change width,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,3001,Surface station type ,11 (Vessel Moving Sensor),,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,22067,Instrument type for water temperature and/or salinity measurement,Set to 997 Ocean moving vessel sensor,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,1051,Platform transmitter ID number,deck unit serial number,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,2148,Data collection and/or location system,11 Mangopare sensor,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,1154,Sensor ID,Moana Serial Number,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,8015,Significant qualifier for sensor,Set to 0 for single sensor,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,25026,Battery voltage,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,112000,Delayed replication of 12 descriptors,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,31001,Delayed descriptor replication factor,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,8021,Time significance,set to 1; Time series,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,301011,"Year, month, day",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,301012,"Hour, minute",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,8091,Coordinates significance,set to 1; Observation coordinates,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,301021,Latitude/longitude (high accuracy),,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,33050,Global GTSPP quality flag,set to 1; Correct value,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,7062,Depth below sea/water surface,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,8080,Quality for GTSPP quality flag,set to 10; Water pressure at level,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,33050,Global GTSPP quality flag,set to 9; Good for operational use; check literature for other uses,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,22045,Sea/water temperature,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,8080,Qualifier for GTSPP quality flag,set to 11; Water temperature at a level,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306048,(Sequence for representation of data from Mangopare temperature and depth sensor),,33050,Global GTSPP quality flag,set to 9; Good for operational use; check literature for other uses,,Operational
